benchmark,category,cs,status,cputime (s),walltime (s),memUsage,status-2,cputime (s)-2,walltime (s)-2,memUsage-2,speedup-2,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4,status-6,cputime (s)-6,walltime (s)-6,memUsage-6,speedup-6,status-8,cputime (s)-8,walltime (s)-8,memUsage-8,speedup-8
abduco-0.6/abduco.bc,OSS,0,OK,0.680691311,0.700336688,22425600,OK,1.077525744,0.725780841,24530944,0.9649423744,OK,1.075705295,0.602946989,24879104,1.161522822,OK,1.111110115,0.623291208,25919488,1.123610728,OK,1.093867959,0.602754343,25202688,1.161894055
adns-1.5.1/adnsheloex.bc,OSS,0,OK,0.098386063,0.153543608,18767872,OK,0.114797295,0.125240303,19664896,1.225991988,OK,0.115687922,0.114973002,20066304,1.335475332,OK,0.103903583,0.126429428,20049920,1.214460988,OK,0.102493873,0.12357863,19607552,1.242477021
adns-1.5.1/adnshost.bc,OSS,0,OK,4.905137058,5.028119938,27553792,OK,6.434283399,3.941074701,29806592,1.275824571,OK,8.944392404,3.458909272,33488896,1.45367211,OK,7.481476015,3.477299925,35962880,1.445983966,OK,9.627894193,3.455686614,37146624,1.455027756
adns-1.5.1/adnslogres.bc,OSS,0,OK,0.110830534,0.133992825,18669568,OK,0.169887452,0.161665649,19386368,0.8288268153,OK,0.140542145,0.163427939,19853312,0.8198893397,OK,0.13022868,0.201080122,20197376,0.6663653457,OK,0.11696096,0.140746083,19488768,0.952018146
adns-1.5.1/adnsresfilter.bc,OSS,0,OK,0.702664556,0.72315795,20135936,OK,0.852163195,0.720644713,21245952,1.003487484,OK,1.260769754,0.703848023,23392256,1.027434796,OK,0.968737077,0.731634391,24014848,0.9884143759,OK,1.023535012,0.695311371,24842240,1.040049078
aide-0.16.1/aide.bc,OSS,0,OK,143.6941386,144.0417146,65220608,OK,219.2207043,113.9090195,75440128,1.264533004,OK,214.6859522,97.55887667,89600000,1.476459339,OK,241.7358714,95.73794565,99074048,1.504541523,OK,249.5627953,95.13377909,100335616,1.514096423
airspy-1.0.9/airspy_gpio.bc,OSS,0,OK,0.099247932,0.182178523,18997248,OK,0.104681571,0.138353564,19353600,1.316760608,OK,0.103681424,0.134318608,19329024,1.356316342,OK,0.103385878,0.128879464,19984384,1.413557423,OK,0.104650576,0.130579082,20090880,1.395158552
airspy-1.0.9/airspy_gpiodir.bc,OSS,0,OK,0.08964833,0.114640366,18763776,OK,0.092678648,0.119834937,19324928,0.9566522825,OK,0.092301412,0.110727396,19279872,1.03533877,OK,0.090854786,0.10993786,19382272,1.042774218,OK,0.091330844,0.127825195,19353600,0.8968526588
airspy-1.0.9/airspy_info.bc,OSS,0,OK,0.062903496,0.08884412,17907712,OK,0.063529961,0.087954103,18141184,1.010119107,OK,0.06435987,0.089330183,18128896,0.9945588044,OK,0.062826177,0.113365422,17985536,0.7836968137,OK,0.063482623,0.090126916,18010112,0.9857667825
airspy-1.0.9/airspy_lib_version.bc,OSS,0,OK,0.046472929,0.105280754,16494592,OK,0.046371448,0.077911365,16629760,1.351288788,OK,0.047216966,0.07479431,16498688,1.407603787,OK,0.04483534,0.067675545,16642048,1.555669097,OK,0.046298885,0.083755895,16601088,1.256995152
airspy-1.0.9/airspy_r820t.bc,OSS,0,OK,0.071717155,0.096962824,18452480,OK,0.072913182,0.106459737,18886656,0.9107933829,OK,0.073192369,0.099481135,18923520,0.9746855421,OK,0.071690672,0.095767926,18784256,1.012477017,OK,0.072266379,0.095239163,18907136,1.018098238
airspy-1.0.9/airspy_rx.bc,OSS,0,OK,0.16088179,0.211887297,26062848,OK,0.181638078,0.201982324,26894336,1.049038811,OK,0.178522711,0.217055119,27045888,0.9761911996,OK,0.179454727,0.246816506,27701248,0.8584810653,OK,0.180470834,0.204269061,27947008,1.037295105
airspy-1.0.9/airspy_si5351c.bc,OSS,0,OK,0.090482951,0.119252091,18894848,OK,0.106891588,0.119136045,19927040,1.000974063,OK,0.106605904,0.137753907,20033536,0.8656893557,OK,0.106496703,0.121673787,20676608,0.9800968141,OK,0.107146974,0.119860814,20697088,0.9949214178
airspy-1.0.9/airspy_spiflash.bc,OSS,0,OK,0.080284332,0.104802816,19513344,OK,0.081511355,0.122531263,19791872,0.8553149085,OK,0.082036253,0.107522924,19963904,0.9747020645,OK,0.079990879,0.129095714,19677184,0.811822583,OK,0.080758888,0.103795971,19832832,1.009700232
allegro4-4.4.3.1/colormap.bc,OSS,0,OK,0.082484828,0.168479235,19132416,OK,0.083362881,0.113322414,19374080,1.486724727,OK,0.083450011,0.124830575,19398656,1.349663214,OK,0.082319317,0.107565225,19247104,1.566298355,OK,0.08269686,0.115435688,19271680,1.459507349
allegro4-4.4.3.1/dat2c.bc,OSS,0,OK,11.64259143,11.69050331,27680768,OK,17.54768121,8.859635277,32301056,1.319524218,OK,21.92264106,9.008138315,37310464,1.297771293,OK,28.66430727,8.726976717,43163648,1.339582274,OK,24.3999929,8.727302745,45215744,1.33953223
allegro4-4.4.3.1/dat2s.bc,OSS,0,OK,0.046826816,0.072248693,16531456,OK,0.047974316,0.073367463,16556032,0.9847511423,OK,0.047977327,0.071747259,16642048,1.006988894,OK,0.046902084,0.134875749,16687104,0.5356685211,OK,0.047553514,0.075472222,16670720,0.9572885372
allegro4-4.4.3.1/exedat.bc,OSS,0,OK,0.078301441,0.130415272,18993152,OK,0.079337526,0.102148029,19156992,1.276728227,OK,0.080703918,0.121034606,19243008,1.077503999,OK,0.078171208,0.10388891,19304448,1.255333914,OK,0.080261479,0.150648127,19296256,0.865694613
allegro4-4.4.3.1/pack.bc,OSS,0,OK,0.053039288,0.100013405,17154048,OK,0.053131449,0.093334043,17137664,1.071564049,OK,0.053964356,0.081841792,17289216,1.22203342,OK,0.051680164,0.106095828,17522688,0.942670479,OK,0.052739978,0.077532875,17420288,1.289948361
allegro4-4.4.3.1/rgbmap.bc,OSS,0,OK,0.052856695,0.077460782,17018880,OK,0.053318677,0.082379862,17330176,0.9402878339,OK,0.05406264,0.085148649,17313792,0.9097124019,OK,0.051929495,0.076036413,17301504,1.018732722,OK,0.052868837,0.077191324,17297408,1.003490781
allegro4-4.4.3.1/textconv.bc,OSS,0,OK,0.108203655,0.176700416,19787776,OK,0.131400648,0.129445806,20955136,1.365053233,OK,0.131866116,0.150963948,20946944,1.170480889,OK,0.135362319,0.13596401,21938176,1.299611684,OK,0.135198153,0.136327091,21897216,1.296150418
alltray-0.7.5.1dev/alltray-ctt-helper.bc,OSS,0,OK,0.185419421,0.46447808,21041152,OK,0.189664306,0.23425498,21307392,1.982788498,OK,0.186099858,0.246811672,21561344,1.881912943,OK,0.190557843,0.251823912,21987328,1.84445582,OK,0.187269865,0.208507651,22093824,2.22763087
alltray-0.7.5.1dev/alltray.bc,OSS,0,OK,0.427742934,0.600954946,39546880,OK,0.498790087,0.4410506,39223296,1.36255329,OK,0.506239471,0.438599402,39772160,1.370168184,OK,0.504146219,0.684504882,41115648,0.8779410663,OK,0.501116091,0.440346982,40820736,1.364730475
apache-2.4.39/ab.bc,OSS,0,OK,0.26323912,0.353840726,29896704,OK,0.259518188,0.281435416,30117888,1.257271494,OK,0.25739579,0.277891656,30101504,1.273304608,OK,0.259790579,0.348687027,30633984,1.0147803,OK,0.256989053,0.280035624,30031872,1.263556118
apache-2.4.39/checkgid.bc,OSS,0,OK,0.049114516,0.075543778,16801792,OK,0.049630551,0.066623384,16945152,1.133892839,OK,0.049680507,0.087971306,16883712,0.8587320279,OK,0.049418023,0.194957115,17006592,0.3874892076,OK,0.049497743,0.131187602,16904192,0.5758454065
apache-2.4.39/fcgistarter.bc,OSS,0,OK,0.053633181,0.08938126,17199104,OK,0.054258397,0.103621293,17440768,0.8625761889,OK,0.053359208,0.075390957,17375232,1.185570041,OK,0.053498797,0.105466423,17285120,0.8474854599,OK,0.053376397,0.079152863,17432576,1.129223336
apache-2.4.39/htcacheclean.bc,OSS,0,OK,0.155222336,0.205590047,23166976,OK,0.178070782,0.176263426,24109056,1.166379502,OK,0.177133204,0.182599841,24293376,1.125904852,OK,0.178977092,0.276200413,24743936,0.744350976,OK,0.1784076,0.199854002,24604672,1.028701177
