benchmark,category,status,cputime (s),walltime (s),memUsage,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4,status-6,cputime (s)-6,walltime (s)-6,memUsage-6,speedup-6,status-8,cputime (s)-8,walltime (s)-8,memUsage-8,speedup-8
fvwm-2.6.8/FvwmForm.bc,OSS,OK,14366.75161,14368.69907,170041344,OK,22352.87058,6913.470562,166895616,2.07836266,OK,24087.42015,6430.158139,211300352,2.234579424,OK,28354.1697,6634.180933,198541312,2.165858787
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--ata--libata.ko-entry_point.cil.out.c,SVC,OK,14132.51756,14138.04361,300519424,OK,21752.78827,7874.579441,234684416,1.795403007,OK,22138.57432,7560.387182,324202496,1.870015817,OK,21875.37588,7320.573642,244695040,1.931275376
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--ata--libata.ko-entry_point.cil.out.c,SVC,OK,14041.5669,14048.39053,297361408,OK,21948.71222,7925.818916,231026688,1.772484418,OK,22176.24307,7554.968893,323813376,1.859490189,OK,22073.39772,7395.471893,241709056,1.899593526
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--scsi--mpt3sas--mpt3sas.ko-entry_point.cil.out.c,SVC,OK,14035.65575,14035.69156,483696640,OK,17101.92179,4322.586107,500932608,3.247058869,OK,22399.72737,3966.068958,517509120,3.538942893,OK,24135.61575,3615.242259,528642048,3.882365426
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--staging--rts5208--rts5208.ko-entry_point.cil.out.c,SVC,OK,13533.71586,13540.7234,283602944,OK,21418.84802,7147.600536,217579520,1.894443224,OK,22692.99144,7012.860009,307826688,1.930841823,OK,25348.95879,7184.520019,225472512,1.884708146
jwm-2.3.7/jwm.bc,OSS,OK,13538.20713,13540.23694,177315840,OK,16795.29644,4563.087139,169766912,2.967341304,OK,18615.48175,3722.058025,210550784,3.63783607,OK,19902.76911,3417.233416,195330048,3.962338913
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--staging--rts5208--rts5208.ko-entry_point.cil.out.c,SVC,OK,13473.44337,13479.91723,286208000,OK,21673.94935,7255.794516,225292288,1.857814082,OK,23146.01875,7230.475616,310255616,1.864319575,OK,25603.16592,7098.989174,233033728,1.89885023
easytag-2.4.3/easytag.bc,OSS,OK,13326.2045,13326.46612,312602624,OK,11552.53459,11552.66956,309989376,1.153539972,OK,13020.36893,13020.47335,312803328,1.023500894,OK,11737.99923,11738.0017,309989376,1.135326647
geeqie-1.4/geeqie.bc,OSS,OK,13316.80144,13319.46708,1331056640,OK,19517.61416,6811.235152,1362194432,1.955514203,OK,20683.65974,6387.60672,1440636928,2.085204625,OK,21202.34825,6247.522647,1446211584,2.131959791
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--scsi--aic7xxx--aic79xx.ko-entry_point.cil.out.c,SVC,OK,13089.90499,13094.39337,255541248,OK,19711.85082,7572.548077,182370304,1.729192503,OK,21101.39487,7114.338822,274386944,1.840563641,OK,21246.79542,6911.593908,196300800,1.894554793
x11vnc-0.9.16/x11vnc.bc,OSS,OK,13073.82702,13076.86631,786710528,OK,17117.51795,4448.597176,864755712,2.939548311,OK,18474.7706,3585.188948,922324992,3.647469214,OK,19575.74498,3194.038866,968429568,4.094147524
lvm2-2.02.184/lvm.bc,OSS,OK,13071.9395,13074.62846,1064431616,OK,21711.12359,6650.270963,1045262336,1.966029434,OK,25624.63817,6603.618669,1088331776,1.979918756,OK,25195.31062,5594.369701,1064927232,2.337104832
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--ata--libata.ko-entry_point.cil.out.c,SVC,OK,13028.31259,13034.82603,292118528,OK,20078.10166,7284.542698,228098048,1.789381513,OK,20585.29358,7040.409578,315297792,1.851430075,OK,20488.83117,6859.232882,237469696,1.900332917
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--scsi--aic7xxx--aic79xx.ko-entry_point.cil.out.c,SVC,OK,12965.68079,12972.29402,254222336,OK,19641.97222,7546.588635,183537664,1.718961328,OK,20837.32105,7091.758462,274522112,1.829206972,OK,21809.03793,6858.379856,198242304,1.891451668
gnupg-2.2.15/gpg.bc,OSS,OK,12922.27371,12924.78297,592609280,OK,18028.95776,5769.947205,597434368,2.240017544,OK,20342.49925,5468.588082,642654208,2.363458862,OK,21766.9624,5196.105438,629088256,2.487398133
rdesktop-1.8.4/rdesktop.bc,OSS,OK,12826.62436,12829.02083,169680896,OK,16650.07123,4850.188236,170078208,2.645056275,OK,17259.17203,3908.530219,214720512,3.282313327,OK,17693.07278,3634.969474,196702208,3.529333855
nano-4.1/nano.bc,OSS,OK,12774.32671,12776.47635,217972736,OK,20971.35894,7965.449687,218251264,1.603986824,OK,22055.21566,7768.33291,259022848,1.644687026,OK,23298.81168,7852.992158,235606016,1.626956463
bogofilter-1.2.4/bogotune.bc,OSS,OK,12734.13674,12734.3767,58875904,OK,26714.7458,13713.9433,65052672,0.9285714853,OK,27200.22515,13683.27404,67145728,0.9306527564,OK,27218.75789,13664.36324,68059136,0.9319407337
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--scsi--mpt2sas--mpt2sas.ko-entry_point.cil.out.c,SVC,OK,12643.07672,12647.11124,374358016,OK,19471.07562,5468.27263,303177728,2.312816514,OK,23795.00138,6008.43578,396537856,2.104892472,OK,24714.44455,5779.830513,315285504,2.188145693
babeld-1.8.4/babeld.bc,OSS,OK,12617.65113,12619.7408,124768256,OK,21100.10312,9099.358221,129384448,1.386882513,OK,21873.35907,9273.788021,179269632,1.360796771,OK,21715.77503,8978.550436,168755200,1.405543232
openssh-8.0p1/sshd.bc,OSS,OK,12403.66701,12405.70575,399556608,OK,18872.69999,6039.89518,387215360,2.053960438,OK,20486.96463,5616.69332,429666304,2.208720512,OK,22164.85754,5515.147806,410112000,2.24938772
wpa_supplicant-2.6/wpa_supplicant.bc,OSS,OK,12361.45898,12365.32286,955809792,OK,17454.33418,5264.525177,1001295872,2.348801164,OK,22407.07085,5578.700367,1049665536,2.216523931,OK,22594.19829,4822.822397,1015214080,2.563918355
vice-3.3/c1541.bc,OSS,OK,12041.94207,12044.06794,180224000,OK,16123.4499,4900.776053,180367360,2.457583822,OK,16851.34939,4357.365507,223555584,2.764071071,OK,18030.71673,4265.78508,208912384,2.823411803
genius-1.0.24/genius.bc,OSS,OK,11918.77462,11920.5716,316133376,OK,14546.59587,3779.657339,307339264,3.153876272,OK,15183.35376,2744.044563,358645760,4.344161082,OK,15826.25015,2248.378825,350142464,5.301851923
nsd-4.1.27/nsd.bc,OSS,OK,11912.05402,11914.5659,248807424,OK,16389.85252,5110.77591,251244544,2.331263611,OK,17001.47481,4534.440026,283820032,2.627571615,OK,17701.2507,4200.828686,268439552,2.836241797
opensips-2.4.5/opensips.bc,OSS,OK,11830.71732,11833.4979,938487808,OK,14947.60923,3848.111959,987631616,3.075143868,OK,15716.57303,2827.658977,1063690240,4.184909847,OK,16992.52026,2437.018758,1038782464,4.855727047
pcb-4.1.3/pcb.bc,OSS,OK,11786.69206,11788.13919,535437312,OK,19636.35093,5975.596235,527089664,1.972713471,OK,22876.65728,5723.360996,570777600,2.05965327,OK,24263.12679,5514.206842,547676160,2.137776026
rogue-5.4.4/rogue.bc,OSS,OK,11715.47008,11721.28032,159240192,OK,14155.3718,3725.443733,157134848,3.146277641,OK,14997.99732,2798.209316,197521408,4.188850438,OK,15870.78639,2409.711794,179556352,4.864183488
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--staging--rts5208--rts5208.ko-entry_point.cil.out.c,SVC,OK,11713.55893,11720.03904,282939392,OK,18850.09754,6342.361261,217423872,1.84789837,OK,19891.89663,6199.345943,303972352,1.890528315,OK,19797.88126,5810.695437,229531648,2.016976998
minicom-2.7.1/minicom.bc,OSS,OK,11580.924,11583.4272,300822528,OK,15710.28476,4477.324557,303079424,2.587131456,OK,17265.8864,4091.149363,340942848,2.831338133,OK,18738.59102,3867.888238,322613248,2.994767813
strace-5.0/strace.bc,OSS,OK,11493.11672,11499.041,429379584,OK,16582.52731,7969.116007,462483456,1.442950634,OK,17373.30004,8056.297571,531636224,1.427335683,OK,16442.29434,7639.650334,539430912,1.505178967
freetds-1.00.98/tsql.bc,OSS,OK,11399.23792,11402.08338,157327360,OK,13798.25536,3488.48076,156413952,3.268495417,OK,14491.61545,2503.180213,198238208,4.555038953,OK,15308.34833,2107.359087,180744192,5.410602988
gawk-4.2.1/gawk.bc,OSS,OK,11389.11585,11391.13311,353599488,OK,15143.81033,4023.306313,380211200,2.831286565,OK,16346.90895,3171.764106,434663424,3.591418759,OK,18051.47094,2949.783747,428343296,3.861684138
snd-19.3/snd.bc,OSS,OK,11357.03115,11359.7657,4179783680,OK,12754.97659,10103.70704,4127862784,1.124316616,OK,12829.23904,9918.388006,4182552576,1.145323786,OK,12840.62695,9621.036507,4151472128,1.180721609
stunnel-5.50/stunnel.bc,OSS,OK,11333.81805,11338.52931,1048829952,OK,16150.83477,4817.356077,1041952768,2.353683042,OK,17921.01031,4408.167235,1074401280,2.572164054,OK,18731.90658,4219.243182,1051791360,2.687337235
coreutils-8.31/du.bc,OSS,OK,11250.11946,11252.91226,106455040,OK,22811.05072,6560.256294,100171776,1.715315951,OK,25254.80941,6587.54818,132694016,1.708209482,OK,25685.28885,7240.208564,113823744,1.554224877
lz4-1.9.0/lz4.bc,OSS,OK,11242.62497,11245.07412,214032384,OK,14312.43302,3626.708092,331792384,3.100628403,OK,14799.57497,2581.767017,433401856,4.355572771,OK,15821.60157,2244.861449,454037504,5.009250849
tarsnap-1.0.39/tarsnap.bc,OSS,OK,11165.36716,11167.89679,193601536,OK,13451.65414,9771.341058,176431104,1.142923651,OK,13408.94061,9487.412904,210563072,1.177127728,OK,13264.75047,9435.848411,184258560,1.183560429
julius-4.5/julius.bc,OSS,OK,11133.08412,11135.11391,322609152,OK,14928.51034,4125.642167,322633728,2.699001381,OK,16361.57492,3628.086809,354078720,3.069142083,OK,17776.62891,3616.523059,327245824,3.078955595
dhcp-4.4.1/dhcpd.bc,OSS,OK,11017.38056,11020.04787,1168343040,OK,13756.4737,3757.704048,1176178688,2.932654548,OK,15052.39132,2958.865911,1269563392,3.72441611,OK,15947.34443,2578.825389,1248169984,4.273281903
genius-1.0.24/gnome-genius.bc,OSS,OK,11006.67471,11006.92822,493748224,OK,13351.6552,3445.033115,519733248,3.195013765,OK,14003.02157,2528.164497,544931840,4.353723121,OK,15190.7835,2102.302692,550621184,5.235653394
marco-1.22.0/marco.bc,OSS,OK,10971.49452,10971.61328,244436992,OK,15474.15565,6573.398675,272949248,1.669092933,OK,15558.16369,6287.775341,291876864,1.744911782,OK,15211.57522,6288.54869,306008064,1.744697197
keepalived-2.0.13/keepalived.bc,OSS,OK,10901.7176,10904.13096,439971840,OK,14314.82354,3849.641237,433958912,2.832505756,OK,15740.90162,3268.591567,476143616,3.336033499,OK,16898.71389,3071.052409,459870208,3.550617022
bspwm-0.9.7/bspwm.bc,OSS,OK,10892.61126,10895.04224,154124288,OK,16059.88224,4785.531736,153341952,2.276662833,OK,18818.99822,4422.559777,198193152,2.463514975,OK,19879.5998,4281.926289,198066176,2.544425453
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--usb--pvrusb2--pvrusb2.ko-entry_point.cil.out.c,SVC,OK,10771.57102,10771.80336,173953024,OK,14134.46813,3558.794675,196636672,3.026812263,OK,17906.47937,3282.323348,214441984,3.281761796,OK,20080.49217,3128.465585,223256576,3.443158657
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--net--fddi--skfp--skfp.ko-entry_point.cil.out.c,SVC,OK,10751.90784,10758.40242,253014016,OK,13951.21426,3556.328935,202240000,3.025142674,OK,15473.29035,2726.866144,306520064,3.945335728,OK,16657.7711,2243.996471,236216320,4.794304519
crash-7.2.5/crash.bc,OSS,OK,10736.93844,10741.14639,2578268160,OK,17949.92324,5656.325449,2612703232,1.898961877,OK,20620.51542,5327.891633,2690056192,2.016021934,OK,22769.37885,5187.781844,2631979008,2.070469946
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--net--fddi--skfp--skfp.ko-entry_point.cil.out.c,SVC,OK,10711.44393,10716.55951,249450496,OK,13914.68252,3549.841662,199790592,3.018883806,OK,14917.78929,2630.105736,300638208,4.074573641,OK,15899.33818,2143.232333,230957056,5.000185627
tor-0.3.5.8/tor.bc,OSS,OK,10690.26538,10695.00656,1424965632,OK,15653.57195,6005.576439,1418997760,1.780845963,OK,17811.3316,7087.471724,1463910400,1.509001654,OK,16159.58774,5771.148703,1424666624,1.85318506
