benchmark,category,status,cputime (s),walltime (s),memUsage,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4,status-6,cputime (s)-6,walltime (s)-6,memUsage-6,speedup-6,status-8,cputime (s)-8,walltime (s)-8,memUsage-8,speedup-8
adns-1.5.1/adnshost.bc,OSS,OK,4.905137058,5.028119938,27553792,OK,8.944392404,3.458909272,33488896,1.45367211,OK,9.626000151,3.470307021,35610624,1.448897722,OK,9.627894193,3.455686614,37146624,1.455027756
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--scsi--bnx2fc--bnx2fc.ko-entry_point.cil.out.c,SVC,OK,5.027898137,5.059874608,60547072,OK,6.76615728,2.802771082,61964288,1.805311408,OK,7.171783955,2.74047554,66908160,1.846349122,OK,7.465493419,2.582168814,68448256,1.959544465
ldv-challenges/linux-3.14_complex_emg_linux-alloc-spinlock_drivers-net-ethernet-3com-3c59x.cil.c,SVC,OK,5.056112846,5.086044035,49123328,OK,7.396531991,2.881182531,52723712,1.765262693,OK,8.40788124,2.527755639,58593280,2.012078999,OK,9.101560801,2.464645197,61030400,2.063600895
ldv-linux-3.14/linux-3.14_complex_emg_linux-kernel-locking-mutex_drivers-net-wireless-rtlwifi-rtl8192de-rtl8192de.cil.c,SVC,OK,4.980301664,5.090719095,76828672,OK,7.349384154,4.002734297,85516288,1.271810397,OK,7.904945165,4.193423563,91213824,1.213976842,OK,7.859310107,3.899863008,93081600,1.305358441
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--misc--sgi-xp--xpc.ko-entry_point.cil.out.c,SVC,OK,5.109096563,5.137067946,44040192,OK,7.88193681,2.959779885,43499520,1.735624994,OK,8.099522024,2.904996952,44163072,1.768355709,OK,8.488915889,2.772680915,43646976,1.852744006
ldv-challenges/linux-3.14_complex_emg_linux-kernel-locking-mutex_drivers-media-usb-dvb-usb-dvb-usb-dib0700.cil.c,SVC,OK,5.151447612,5.176470955,66809856,OK,6.355111565,2.481229155,71585792,2.086252672,OK,6.542553732,2.19434077,76873728,2.359009606,OK,7.853543514,2.117641313,78835712,2.44445125
brltty-6.0/brltty-lsinc.bc,OSS,OK,5.189499485,5.214430964,44572672,OK,6.643825183,4.478421348,49516544,1.164345772,OK,6.574111645,4.509551097,53166080,1.156308212,OK,6.645376077,4.507622495,54509568,1.156802942
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--media--pci--bt8xx--bttv.ko-entry_point.cil.out.c,SVC,OK,5.211751446,5.232555085,68542464,OK,6.64117865,2.895992882,76476416,1.806825948,OK,6.828351386,2.738544836,80859136,1.910706378,OK,6.924391546,2.712369008,82767872,1.929145728
ldv-linux-3.14/linux-3.14_complex_emg_linux-kernel-locking-mutex_drivers-net-ethernet-sun-cassini.cil.c,SVC,OK,5.23010431,5.259780714,49344512,OK,6.769725877,2.298077682,48734208,2.288774116,OK,6.592597753,2.398571246,49913856,2.19288075,OK,6.831355492,2.181142856,50126848,2.411479239
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--gpu--drm--drm.ko-entry_point.cil.out.c,SVC,OK,5.054535762,5.271513254,105488384,OK,5.28285337,4.779901224,107143168,1.10284983,OK,5.315878439,4.821032428,111845376,1.093440738,OK,5.43844205,4.777620955,110870528,1.1033762
ldv-linux-3.14/linux-3.14_complex_emg_linux-drivers-clk1_drivers-net-ethernet-marvell-sky2.cil.c,SVC,OK,5.112063667,5.275760702,53456896,OK,7.796284831,3.243840178,52674560,1.626393537,OK,8.272704478,3.288680363,54845440,1.604218142,OK,8.272564943,3.266427318,55795712,1.615147128
ldv-linux-3.14/linux-3.14_complex_emg_linux-kernel-locking-spinlock_fs-nfs-blocklayout-blocklayoutdriver.cil.c,SVC,OK,5.224554615,5.296068313,50155520,OK,7.929414087,2.52979789,49520640,2.093474872,OK,8.54364154,2.522358276,50843648,2.099649508,OK,8.339880046,2.508762782,54210560,2.111027934
ncftp-3.2.6/ncftpbookmarks.bc,OSS,OK,5.296561551,5.321272888,52412416,OK,6.71519457,2.618609565,59908096,2.032098622,OK,7.960539978,2.609729449,65970176,2.039013236,OK,8.419399813,2.257452751,70086656,2.357202332
ldv-linux-3.14/linux-3.14_complex_emg_linux-kernel-locking-mutex_drivers-net-ethernet-marvell-sky2.cil.c,SVC,OK,5.299819955,5.326075015,53198848,OK,8.253065264,3.409576899,52535296,1.56209265,OK,8.539315743,3.467507734,55062528,1.535995136,OK,8.413634953,3.288561727,56520704,1.619575808
ldv-challenges/linux-3.14_complex_emg_linux-kernel-locking-spinlock_drivers-net-ethernet-marvell-sky2.cil.c,SVC,OK,5.307755368,5.342819521,54116352,OK,7.942237169,3.309646889,53202944,1.614317086,OK,8.464304615,3.383942101,55951360,1.57887439,OK,8.514718046,3.29660245,57806848,1.620704832
