benchmark,category,status,cputime (s),walltime (s),memUsage,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--ata--libata.ko-entry_point.cil.out.c,SVC,OK,14132.51756,14138.04361,300519424,OK,21752.78827,7874.579441,234684416,1.795403007
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--ata--libata.ko-entry_point.cil.out.c,SVC,OK,14041.5669,14048.39053,297361408,OK,21948.71222,7925.818916,231026688,1.772484418
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--scsi--mpt3sas--mpt3sas.ko-entry_point.cil.out.c,SVC,OK,14035.65575,14035.69156,483696640,OK,17101.92179,4322.586107,500932608,3.247058869
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--staging--rts5208--rts5208.ko-entry_point.cil.out.c,SVC,OK,13533.71586,13540.7234,283602944,OK,21418.84802,7147.600536,217579520,1.894443224
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--staging--rts5208--rts5208.ko-entry_point.cil.out.c,SVC,OK,13473.44337,13479.91723,286208000,OK,21673.94935,7255.794516,225292288,1.857814082
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--scsi--aic7xxx--aic79xx.ko-entry_point.cil.out.c,SVC,OK,13089.90499,13094.39337,255541248,OK,19711.85082,7572.548077,182370304,1.729192503
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--ata--libata.ko-entry_point.cil.out.c,SVC,OK,13028.31259,13034.82603,292118528,OK,20078.10166,7284.542698,228098048,1.789381513
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--scsi--aic7xxx--aic79xx.ko-entry_point.cil.out.c,SVC,OK,12965.68079,12972.29402,254222336,OK,19641.97222,7546.588635,183537664,1.718961328
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--scsi--mpt2sas--mpt2sas.ko-entry_point.cil.out.c,SVC,OK,12643.07672,12647.11124,374358016,OK,19471.07562,5468.27263,303177728,2.312816514
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--staging--rts5208--rts5208.ko-entry_point.cil.out.c,SVC,OK,11713.55893,11720.03904,282939392,OK,18850.09754,6342.361261,217423872,1.84789837
